Distinct_Word,IDF,Block_1_tf,Block_1_tfidf,Block_2_tf,Block_2_tfidf,Block_3_tf,Block_3_tfidf,Block_4_tf,Block_4_tfidf,Block_5_tf,Block_5_tfidf,Block_6_tf,Block_6_tfidf,Block_7_tf,Block_7_tfidf
often,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.15,0.0,0.0,0.0,0.0
from,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.13,0.0,0.0,0.0,0.0,0.0,0.0
reasons,1.946,0.0,0.0,0.143,0.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.082,0.0,0.0
yellow,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.216
we,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.216
authority,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.13,0.0,0.0,0.0,0.0,0.0,0.0
system,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.13,0.0,0.0,0.0,0.0,0.0,0.0
hardware,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.082,0.0,0.0
as,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.082,0.0,0.0
computer,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.082,0.0,0.0
system-management,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.082,0.0,0.0
are,0.693,0.091,0.063,0.0,0.0,0.056,0.039,0.0,0.0,0.077,0.053,0.0,0.0,0.0,0.0
in,1.099,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.074,0.077,0.085,0.0,0.0,0.0,0.0
avoided,1.946,0.0,0.0,0.0,0.0,0.056,0.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
saw,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.216
market,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.082,0.0,0.0
delivered,1.946,0.091,0.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
what,1.946,0.091,0.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brd,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.15,0.0,0.0,0.0,0.0
requirements,0.0,0.091,0.0,0.0,0.0,0.056,0.0,0.067,0.0,0.154,0.0,0.0,0.0,0.0,0.0
for,1.099,0.0,0.0,0.143,0.157,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.091,0.0,0.0
provide,1.946,0.091,0.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
objectives,1.946,0.0,0.0,0.0,0.0,0.111,0.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
there,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.082,0.0,0.0
three,1.946,0.0,0.0,0.143,0.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
.,0.0,0.091,0.0,0.143,0.0,0.056,0.0,0.067,0.0,0.077,0.0,0.042,0.0,0.111,0.0
to,1.946,0.091,0.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
recognizing,1.946,0.0,0.0,0.0,0.0,0.056,0.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
listed,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.15,0.0,0.0,0.0,0.0
digital,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.082,0.0,0.0
main,1.946,0.0,0.0,0.143,0.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stakeholders,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.13,0.0,0.0,0.0,0.0,0.0,0.0
development,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.13,0.0,0.0,0.0,0.0,0.0,0.0
be,1.099,0.091,0.1,0.0,0.0,0.056,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.13,0.0,0.0,0.0,0.0,0.0,0.0
arises,1.946,0.0,0.0,0.143,0.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
's,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.082,0.0,0.0
business,0.0,0.091,0.0,0.0,0.0,0.056,0.0,0.067,0.0,0.154,0.0,0.0,0.0,0.0,0.0
that,1.099,0.0,0.0,0.0,0.0,0.056,0.062,0.0,0.0,0.0,0.0,0.042,0.046,0.0,0.0
confusion,1.099,0.0,0.0,0.143,0.157,0.056,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
giant,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.082,0.0,0.0
but,1.946,0.0,0.0,0.0,0.0,0.056,0.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
short,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.216
fat,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.216
not,1.946,0.0,0.0,0.0,0.0,0.056,0.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
such,1.099,0.0,0.0,0.0,0.0,0.056,0.062,0.0,0.0,0.0,0.0,0.042,0.046,0.0,0.0
fragmented,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.082,0.0,0.0
by,1.946,0.0,0.0,0.0,0.0,0.056,0.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
projects,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.13,0.0,0.0,0.0,0.0,0.0,0.0
must,1.946,0.091,0.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,1.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.085,0.042,0.046,0.0,0.0
do,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.082,0.0,0.0
document,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.15,0.0,0.0,0.0,0.0
lazy,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.216
should,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.082,0.0,0.0
well,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.082,0.0,0.0
dog,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.216
value,1.946,0.091,0.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rather,1.946,0.0,0.0,0.0,0.0,0.056,0.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
associates,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.082,0.0,0.0
can,1.946,0.0,0.0,0.0,0.0,0.056,0.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enough,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.082,0.0,0.0
usually,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.13,0.0,0.0,0.0,0.0,0.0,0.0
meet,1.946,0.0,0.0,0.0,0.0,0.056,0.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the,1.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.046,0.111,0.122
requires,1.946,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.13,0.0,0.0,0.0,0.0,0.0,0.0
or,1.099,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.074,0.077,0.085,0.0,0.0,0.0,0.0
software,1.099,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.074,0.0,0.0,0.042,0.046,0.0,0.0
